preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-6.209465026855469, -3.1047325134277344, [-3.4569015502929688, -2.7525634765625])",124439808,gpt2
A top is a,toy.,top,toy,2,"(-10.81304931640625, -5.406524658203125, [-7.988777160644531, -2.8242721557617188])",124439808,gpt2
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-10.167778015136719, -5.083889007568359, [-6.321876525878906, -3.8459014892578125])",124439808,gpt2
A toy soldier is a,toy.,toy soldier,toy,4,"(-8.663078308105469, -4.331539154052734, [-4.490875244140625, -4.172203063964844])",124439808,gpt2
A yo-yo is a,toy.,yo-yo,toy,5,"(-8.346099853515625, -4.1730499267578125, [-4.89910888671875, -3.446990966796875])",124439808,gpt2
A block is a,toy.,block,toy,6,"(-13.684722900390625, -6.8423614501953125, [-10.434440612792969, -3.2502822875976562])",124439808,gpt2
Marbles are,toys.,marbles,toy,7,"(-13.018455505371094, -6.509227752685547, [-10.583572387695312, -2.4348831176757812])",124439808,gpt2
A rattle is a,toy.,rattle,toy,8,"(-11.204795837402344, -5.602397918701172, [-8.036201477050781, -3.1685943603515625])",124439808,gpt2
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-6.869895935058594, -3.434947967529297, [-4.225059509277344, -2.64483642578125])",124439808,gpt2
A water pistol is a,toy.,water pistol,toy,10,"(-10.819305419921875, -5.4096527099609375, [-7.244972229003906, -3.5743331909179688])",124439808,gpt2
A teddy bear is a,toy.,teddy bear,toy,11,"(-7.703666687011719, -3.8518333435058594, [-3.5262222290039062, -4.1774444580078125])",124439808,gpt2
A rocking horse is a,toy.,rocking horse,toy,12,"(-9.349937438964844, -4.674968719482422, [-6.357391357421875, -2.9925460815429688])",124439808,gpt2
A doll house is a,toy.,doll house,toy,13,"(-11.100929260253906, -5.550464630126953, [-6.726890563964844, -4.3740386962890625])",124439808,gpt2
A ball is a,toy.,ball,toy,14,"(-9.077629089355469, -4.538814544677734, [-6.4971160888671875, -2.5805130004882812])",124439808,gpt2
