preamble,stimulus,item,category,rank,true,"score (sum, mean, [list)",params,model
It is true that a robin is a,bird.,robin,bird,1,1,"(-7.2362823486328125, -3.6181411743164062, [-5.293342590332031, -1.9429397583007812])",124439808,gpt2
It is false that a robin is a,bird.,robin,bird,1,-1,"(-6.5247802734375, -3.26239013671875, [-5.058113098144531, -1.4666671752929688])",124439808,gpt2
It is true that a sparrow is a,bird.,sparrow,bird,2,1,"(-6.579803466796875, -3.2899017333984375, [-4.521965026855469, -2.0578384399414062])",124439808,gpt2
It is false that a sparrow is a,bird.,sparrow,bird,2,-1,"(-5.173309326171875, -2.5866546630859375, [-3.7468719482421875, -1.4264373779296875])",124439808,gpt2
It is true that a bluejay is a,bird.,bluejay,bird,3,1,"(-7.312713623046875, -3.6563568115234375, [-5.1218109130859375, -2.1909027099609375])",124439808,gpt2
It is false that a bluejay is a,bird.,bluejay,bird,3,-1,"(-6.061927795410156, -3.030963897705078, [-4.624114990234375, -1.4378128051757812])",124439808,gpt2
It is true that a bluebird is a,bird.,bluebird,bird,4,1,"(-6.293861389160156, -3.146930694580078, [-3.2149124145507812, -3.078948974609375])",124439808,gpt2
It is false that a bluebird is a,bird.,bluebird,bird,4,-1,"(-4.737541198730469, -2.3687705993652344, [-2.622833251953125, -2.1147079467773438])",124439808,gpt2
It is true that a canary is a,bird.,canary,bird,5,1,"(-8.285675048828125, -4.1428375244140625, [-6.310943603515625, -1.9747314453125])",124439808,gpt2
It is false that a canary is a,bird.,canary,bird,5,-1,"(-7.415779113769531, -3.7078895568847656, [-5.925987243652344, -1.4897918701171875])",124439808,gpt2
It is true that a blackbird is a,bird.,blackbird,bird,6,1,"(-6.269012451171875, -3.1345062255859375, [-3.0470809936523438, -3.2219314575195312])",124439808,gpt2
It is false that a blackbird is a,bird.,blackbird,bird,6,-1,"(-4.91961669921875, -2.459808349609375, [-2.6550750732421875, -2.2645416259765625])",124439808,gpt2
It is true that a dove is a,bird.,dove,bird,7,1,"(-5.937835693359375, -2.9689178466796875, [-3.808837890625, -2.128997802734375])",124439808,gpt2
It is false that a dove is a,bird.,dove,bird,7,-1,"(-4.898292541503906, -2.449146270751953, [-3.3812637329101562, -1.51702880859375])",124439808,gpt2
It is true that a lark is a,bird.,lark,bird,8,1,"(-8.344444274902344, -4.172222137451172, [-6.122627258300781, -2.2218170166015625])",124439808,gpt2
