preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-7.716159820556641, -3.8580799102783203, [-4.497577667236328, -3.2185821533203125])",81912576,distilgpt2
A top is a,toy.,top,toy,2,"(-11.463603973388672, -5.731801986694336, [-8.228721618652344, -3.234882354736328])",81912576,distilgpt2
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-9.711437225341797, -4.855718612670898, [-6.263450622558594, -3.447986602783203])",81912576,distilgpt2
A toy soldier is a,toy.,toy soldier,toy,4,"(-10.571937561035156, -5.285968780517578, [-5.439815521240234, -5.132122039794922])",81912576,distilgpt2
A yo-yo is a,toy.,yo-yo,toy,5,"(-9.909236907958984, -4.954618453979492, [-6.384025573730469, -3.5252113342285156])",81912576,distilgpt2
A block is a,toy.,block,toy,6,"(-13.34979248046875, -6.674896240234375, [-9.978408813476562, -3.3713836669921875])",81912576,distilgpt2
Marbles are,toys.,marbles,toy,7,"(-13.069133758544922, -6.534566879272461, [-11.119915008544922, -1.94921875])",81912576,distilgpt2
A rattle is a,toy.,rattle,toy,8,"(-11.492969512939453, -5.746484756469727, [-8.389141082763672, -3.1038284301757812])",81912576,distilgpt2
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-9.306053161621094, -4.653026580810547, [-6.207633972167969, -3.098419189453125])",81912576,distilgpt2
A water pistol is a,toy.,water pistol,toy,10,"(-9.874961853027344, -4.937480926513672, [-6.679649353027344, -3.1953125])",81912576,distilgpt2
A teddy bear is a,toy.,teddy bear,toy,11,"(-8.148582458496094, -4.074291229248047, [-4.562767028808594, -3.5858154296875])",81912576,distilgpt2
A rocking horse is a,toy.,rocking horse,toy,12,"(-10.128242492675781, -5.064121246337891, [-6.9232940673828125, -3.2049484252929688])",81912576,distilgpt2
A doll house is a,toy.,doll house,toy,13,"(-13.03885269165039, -6.519426345825195, [-6.788722991943359, -6.250129699707031])",81912576,distilgpt2
A ball is a,toy.,ball,toy,14,"(-8.999271392822266, -4.499635696411133, [-6.538501739501953, -2.4607696533203125])",81912576,distilgpt2
Jacks are,toys.,jacks,toy,15,"(-12.841053009033203, -6.420526504516602, [-11.19952392578125, -1.6415290832519531])",81912576,distilgpt2
Paper dolls are,toys.,paper dolls,toy,16,"(-8.840370178222656, -4.420185089111328, [-7.001003265380859, -1.8393669128417969])",81912576,distilgpt2
An erector set is a,toy.,erector set,toy,17,"(-11.07720947265625, -5.538604736328125, [-7.218250274658203, -3.858959197998047])",81912576,distilgpt2
A hula hoop is a,toy.,hula hoop,toy,18,"(-10.874542236328125, -5.4372711181640625, [-7.005546569824219, -3.8689956665039062])",81912576,distilgpt2
A jump rope is a,toy.,jump rope,toy,19,"(-11.585884094238281, -5.792942047119141, [-8.008499145507812, -3.5773849487304688])",81912576,distilgpt2
A pogo stick is a,toy.,pogo stick,toy,20,"(-9.464927673339844, -4.732463836669922, [-5.7310333251953125, -3.7338943481445312])",81912576,distilgpt2
A clay is a,toy.,clay,toy,21,"(-11.35769271850586, -5.67884635925293, [-8.276206970214844, -3.0814857482910156])",81912576,distilgpt2
A wagon is a,toy.,wagon,toy,22,"(-10.351730346679688, -5.175865173339844, [-6.750389099121094, -3.6013412475585938])",81912576,distilgpt2
A kite is a,toy.,kite,toy,23,"(-10.9530029296875, -5.47650146484375, [-7.4890289306640625, -3.4639739990234375])",81912576,distilgpt2
A train is a,toy.,train,toy,24,"(-11.457237243652344, -5.728618621826172, [-7.9059600830078125, -3.5512771606445312])",81912576,distilgpt2
A tricycle is a,toy.,tricycle,toy,25,"(-10.963127136230469, -5.481563568115234, [-7.0381011962890625, -3.9250259399414062])",81912576,distilgpt2
A coloring book is a,toy.,coloring book,toy,26,"(-10.570426940917969, -5.285213470458984, [-7.611595153808594, -2.958831787109375])",81912576,distilgpt2
Crayons are,toys.,crayons,toy,27,"(-12.545921325683594, -6.272960662841797, [-10.56717300415039, -1.9787483215332031])",81912576,distilgpt2
A truck is a,toy.,truck,toy,28,"(-11.34091567993164, -5.67045783996582, [-7.054718017578125, -4.286197662353516])",81912576,distilgpt2
A puzzle is a,toy.,puzzle,toy,29,"(-11.130107879638672, -5.565053939819336, [-8.04714584350586, -3.0829620361328125])",81912576,distilgpt2
A fire engine is a,toy.,fire engine,toy,30,"(-11.18941879272461, -5.594709396362305, [-8.096359252929688, -3.093059539794922])",81912576,distilgpt2
A balloon is a,toy.,balloon,toy,31,"(-9.598064422607422, -4.799032211303711, [-6.605262756347656, -2.9928016662597656])",81912576,distilgpt2
Skates are,toys.,skates,toy,32,"(-12.633255004882812, -6.316627502441406, [-10.609649658203125, -2.0236053466796875])",81912576,distilgpt2
A baseball is a,toy.,baseball,toy,33,"(-10.27579116821289, -5.137895584106445, [-7.7249603271484375, -2.550830841064453])",81912576,distilgpt2
A drum is a,toy.,drum,toy,34,"(-11.262928009033203, -5.631464004516602, [-7.783592224121094, -3.4793357849121094])",81912576,distilgpt2
A football is a,toy.,football,toy,35,"(-10.907974243164062, -5.453987121582031, [-8.610977172851562, -2.2969970703125])",81912576,distilgpt2
A game is a,toy.,game,toy,36,"(-12.298133850097656, -6.149066925048828, [-8.930595397949219, -3.3675384521484375])",81912576,distilgpt2
A swing is a,toy.,swing,toy,37,"(-12.613323211669922, -6.306661605834961, [-9.52880859375, -3.084514617919922])",81912576,distilgpt2
A boat is a,toy.,boat,toy,38,"(-11.199455261230469, -5.599727630615234, [-7.313102722167969, -3.8863525390625])",81912576,distilgpt2
