preamble,stimulus,item,category,rank,true,"score (sum, mean, [list)",params,model
It is true that a robin is a,bird.,robin,bird,1,1,"(-2.392690658569336, -1.196345329284668, [-2.232442855834961, -0.160247802734375])",335174458,bert-large-uncased
It is false that a robin is a,bird.,robin,bird,1,-1,"(-2.581411361694336, -1.290705680847168, [-2.492816925048828, -0.08859443664550781])",335174458,bert-large-uncased
It is true that a sparrow is a,bird.,sparrow,bird,2,1,"(-1.1260433197021484, -0.5630216598510742, [-0.9480819702148438, -0.1779613494873047])",335174458,bert-large-uncased
It is false that a sparrow is a,bird.,sparrow,bird,2,-1,"(-1.2519168853759766, -0.6259584426879883, [-1.1321735382080078, -0.11974334716796875])",335174458,bert-large-uncased
It is true that a bluejay is a,bird.,bluejay,bird,3,1,"(-2.4763946533203125, -1.2381973266601562, [-2.3336448669433594, -0.14274978637695312])",335174458,bert-large-uncased
It is false that a bluejay is a,bird.,bluejay,bird,3,-1,"(-2.2079906463623047, -1.1039953231811523, [-2.1239490509033203, -0.08404159545898438])",335174458,bert-large-uncased
It is true that a bluebird is a,bird.,bluebird,bird,4,1,"(-1.381455421447754, -0.690727710723877, [-1.2514142990112305, -0.13004112243652344])",335174458,bert-large-uncased
It is false that a bluebird is a,bird.,bluebird,bird,4,-1,"(-1.4360733032226562, -0.7180366516113281, [-1.3436908721923828, -0.09238243103027344])",335174458,bert-large-uncased
It is true that a canary is a,bird.,canary,bird,5,1,"(-1.5032768249511719, -0.7516384124755859, [-1.3704452514648438, -0.13283157348632812])",335174458,bert-large-uncased
It is false that a canary is a,bird.,canary,bird,5,-1,"(-1.6141738891601562, -0.8070869445800781, [-1.5274715423583984, -0.08670234680175781])",335174458,bert-large-uncased
It is true that a blackbird is a,bird.,blackbird,bird,6,1,"(-2.078524589538574, -1.039262294769287, [-1.9259157180786133, -0.15260887145996094])",335174458,bert-large-uncased
It is false that a blackbird is a,bird.,blackbird,bird,6,-1,"(-2.0193891525268555, -1.0096945762634277, [-1.907029151916504, -0.11236000061035156])",335174458,bert-large-uncased
It is true that a dove is a,bird.,dove,bird,7,1,"(-1.016733169555664, -0.508366584777832, [-0.8754100799560547, -0.14132308959960938])",335174458,bert-large-uncased
It is false that a dove is a,bird.,dove,bird,7,-1,"(-1.224635124206543, -0.6123175621032715, [-1.1180753707885742, -0.10655975341796875])",335174458,bert-large-uncased
It is true that a lark is a,bird.,lark,bird,8,1,"(-4.183078765869141, -2.0915393829345703, [-4.021015167236328, -0.1620635986328125])",335174458,bert-large-uncased
It is false that a lark is a,bird.,lark,bird,8,-1,"(-3.3832931518554688, -1.6916465759277344, [-3.268014907836914, -0.11527824401855469])",335174458,bert-large-uncased
It is true that a swallow is a,bird.,swallow,bird,9,1,"(-1.9206171035766602, -0.9603085517883301, [-1.7532758712768555, -0.1673412322998047])",335174458,bert-large-uncased
It is false that a swallow is a,bird.,swallow,bird,9,-1,"(-1.9915504455566406, -0.9957752227783203, [-1.8735160827636719, -0.11803436279296875])",335174458,bert-large-uncased
It is true that a parakeet is a,bird.,parakeet,bird,10,1,"(-1.0671253204345703, -0.5335626602172852, [-0.9281234741210938, -0.13900184631347656])",335174458,bert-large-uncased
It is false that a parakeet is a,bird.,parakeet,bird,10,-1,"(-0.8487482070922852, -0.4243741035461426, [-0.7784547805786133, -0.07029342651367188])",335174458,bert-large-uncased
It is true that an oriole is a,bird.,oriole,bird,11,1,"(-4.597270965576172, -2.298635482788086, [-4.4197845458984375, -0.17748641967773438])",335174458,bert-large-uncased
It is false that an oriole is a,bird.,oriole,bird,11,-1,"(-4.1757636070251465, -2.0878818035125732, [-4.064013957977295, -0.11174964904785156])",335174458,bert-large-uncased
It is true that a mockingbird is a,bird.,mockingbird,bird,12,1,"(-0.982844352722168, -0.491422176361084, [-0.8883810043334961, -0.09446334838867188])",335174458,bert-large-uncased
It is false that a mockingbird is a,bird.,mockingbird,bird,12,-1,"(-1.318089485168457, -0.6590447425842285, [-1.2252817153930664, -0.09280776977539062])",335174458,bert-large-uncased
It is true that a redbird is a,bird.,redbird,bird,13,1,"(-2.0146055221557617, -1.0073027610778809, [-1.858565330505371, -0.15604019165039062])",335174458,bert-large-uncased
It is false that a redbird is a,bird.,redbird,bird,13,-1,"(-1.9041833877563477, -0.9520916938781738, [-1.795262336730957, -0.10892105102539062])",335174458,bert-large-uncased
It is true that a wren is a,bird.,wren,bird,14,1,"(-1.4805412292480469, -0.7402706146240234, [-1.3328514099121094, -0.1476898193359375])",335174458,bert-large-uncased
It is false that a wren is a,bird.,wren,bird,14,-1,"(-1.896371841430664, -0.948185920715332, [-1.7993698120117188, -0.09700202941894531])",335174458,bert-large-uncased
It is true that a finch is a,bird.,finch,bird,15,1,"(-0.7751674652099609, -0.38758373260498047, [-0.6067180633544922, -0.16844940185546875])",335174458,bert-large-uncased
It is false that a finch is a,bird.,finch,bird,15,-1,"(-0.724029541015625, -0.3620147705078125, [-0.6333580017089844, -0.09067153930664062])",335174458,bert-large-uncased
It is true that a starling is a,bird.,starling,bird,16,1,"(-3.1728668212890625, -1.5864334106445312, [-2.9888248443603516, -0.18404197692871094])",335174458,bert-large-uncased
It is false that a starling is a,bird.,starling,bird,16,-1,"(-3.005702018737793, -1.5028510093688965, [-2.8565282821655273, -0.14917373657226562])",335174458,bert-large-uncased
It is true that a cardinal is a,bird.,cardinal,bird,17,1,"(-11.483409881591797, -5.741704940795898, [-11.288780212402344, -0.19462966918945312])",335174458,bert-large-uncased
It is false that a cardinal is a,bird.,cardinal,bird,17,-1,"(-11.395706176757812, -5.697853088378906, [-11.259750366210938, -0.135955810546875])",335174458,bert-large-uncased
