pa, pp, ta, tp
the manager hurt the worker .,the worker was hurt by the manager .,a chief raises a coffee .,a coffee is raised by a chief .
a parent killed a worker .,a worker was killed by a parent .,the leader discovers the coffee .,the coffee is discovered by the leader .
the lawyer discovers the motor .,the motor is discovered by the lawyer .,a cop smelled a candy .,a candy was smelled by a cop .
the adult discovered the meal .,the meal was discovered by the adult .,a woman hurries a prince .,a prince is hurried by a woman .
the worker grabs the juice .,the juice is grabbed by the worker .,a partner asked a mother .,a mother was asked by a partner .
a woman bothered a champion .,a champion was bothered by a woman .,the administration uses the bottle .,the bottle is used by the administration .
a sheriff selects a bag .,a bag is selected by a sheriff .,the nurse asked the uncle .,the uncle was asked by the nurse .
a worker asks a company .,a company is asked by a worker .,the mayor judged the club .,the club was judged by the mayor .
a soldier surprises an opponent .,an opponent is surprised by a soldier .,the actor left the ball .,the ball was left by the actor .
a cousin helps a bishop .,a bishop is helped by a cousin .,the pilot struck the woman .,the woman was struck by the pilot .
an adult selects a plate .,a plate is selected by an adult .,the king embraced the manager .,the manager was embraced by the king .
a student hurt an army .,an army was hurt by a student .,the attorney drags the camera .,the camera is dragged by the attorney .
a guest followed a woman .,a woman was followed by a guest .,the doctor collects the plate .,the plate is collected by the doctor .
the attorney selects the coffee .,the coffee is selected by the attorney .,a son washed a scientist .,a scientist was washed by a son .
a parent smelled a beer .,a beer was smelled by a parent .,the employee kisses the opponent .,the opponent is kissed by the employee .
the candidate hurt the champion .,the champion was hurt by the candidate .,an employer prepares a chocolate .,a chocolate is prepared by an employer .
the colonel comforted the employer .,the employer was comforted by the colonel .,a manager teaches a parent .,a parent is taught by a manager .
the bishop hurries the scientist .,the scientist is hurried by the bishop .,a girl asked a singer .,a singer was asked by a girl .
the wife asks the guy .,the guy is asked by the wife .,a princess kissed a minister .,a minister was kissed by a princess .
the aunt breaks the box .,the box is broken by the aunt .,a king understood a singer .,a singer was understood by a king .
the partner describes the cheese .,the cheese is described by the partner .,an army purchased a juice .,a juice was purchased by an army .
a brother grabs a mayor .,a mayor is grabbed by a brother .,the lawyer hurt the corporation .,the corporation was hurt by the lawyer .
a sheriff dragged a television .,a television was dragged by a sheriff .,the boy drinks the beer .,the beer is drunk by the boy .
the champion used the pot .,the pot was used by the champion .,a boy understands an opponent .,an opponent is understood by a boy .
a physician judges a leader .,a leader is judged by a physician .,the actor dragged the cigarette .,the cigarette was dragged by the actor .
a nurse grabs a chicken .,a chicken is grabbed by a nurse .,the pilot struck the captain .,the captain was struck by the pilot .
a parent asked a boy .,a boy was asked by a parent .,the actor uses the hat .,the hat is used by the actor .
the brother killed the lawyer .,the lawyer was killed by the brother .,a champion accepts a wire .,a wire is accepted by a champion .
the priest tastes the salad .,the salad is tasted by the priest .,a mayor led a club .,a club was led by a mayor .
the girl embraced the leader .,the leader was embraced by the girl .,a cop wraps a book .,a book is wrapped by a cop .
the brother embraces the pilot .,the pilot is embraced by the brother .,a princess removed a computer .,a computer was removed by a princess .
a candidate collects a candy .,a candy is collected by a candidate .,the student followed the band .,the band was followed by the student .
the uncle kissed the worker .,the worker was kissed by the uncle .,an author leaves a computer .,a computer is left by an author .
the lady describes the anchor .,the anchor is described by the lady .,an actress destroyed a mother .,a mother was destroyed by an actress .
an adult kills an opponent .,an opponent is killed by an adult .,the prince bothered the administration .,the administration was bothered by the prince .
an uncle bothered a brother .,a brother was bothered by an uncle .,the cop describes the telephone .,the telephone is described by the cop .
a hero forgot a juice .,a juice was forgotten by a hero .,the president strikes the manager .,the manager is struck by the president .
the brother asked the captain .,the captain was asked by the brother .,a worker forgets a candy .,a candy is forgotten by a worker .
an actress wraps a gun .,a gun is wrapped by an actress .,the man left the hat .,the hat was left by the man .
a king judged a business .,a business was judged by a king .,the woman washes the cup .,the cup is washed by the woman .
a daughter breaks a bell .,a bell is broken by a daughter .,the aunt hurt the cop .,the cop was hurt by the aunt .
the doctor punches the teacher .,the teacher is punched by the doctor .,an actress discovered a log .,a log was discovered by an actress .
a boy kills a father .,a father is killed by a boy .,the army used the iron .,the iron was used by the army .
the chief destroys the candy .,the candy is destroyed by the chief .,a winner used a card .,a card was used by a winner .
a priest removes a motor .,a motor is removed by a priest .,the business used the newspaper .,the newspaper was used by the business .
the winner uses the coat .,the coat is used by the winner .,a chief selected a mayor .,a mayor was selected by a chief .
a cousin comforted a brother .,a brother was comforted by a cousin .,the secretary asks the club .,the club is asked by the secretary .
a captain destroyed a cup .,a cup was destroyed by a captain .,the son carries the buddy .,the buddy is carried by the son .
the champion embraces the wife .,the wife is embraced by the champion .,a cop led a company .,a company was led by a cop .
the winner kept the tea .,the tea was kept by the winner .,a student teaches a friend .,a friend is taught by a student .
a worker killed a scientist .,a scientist was killed by a worker .,the candidate tastes the salad .,the salad is tasted by the candidate .
the employee bothered the business .,the business was bothered by the employee .,an author drags a bag .,a bag is dragged by an author .
the actor understood the friend .,the friend was understood by the actor .,an adult raises a salad .,a salad is raised by an adult .
the worker chases the friend .,the friend is chased by the worker .,a scientist wrapped a ball .,a ball was wrapped by a scientist .
the company keeps the tea .,the tea is kept by the company .,an author killed a woman .,a woman was killed by an author .
the actor selected the television .,the television was selected by the actor .,a bishop judges a club .,a club is judged by a bishop .
the army helped the reader .,the reader was helped by the army .,a king hurries an opponent .,an opponent is hurried by a king .
a child removes a box .,a box is removed by a child .,the employee understood the guy .,the guy was understood by the employee .
the husband discovered the salad .,the salad was discovered by the husband .,a reader leaves a book .,a book is left by a reader .
a chief judges a mayor .,a mayor is judged by a chief .,the writer caught the king .,the king was caught by the writer .
the husband wraps the ball .,the ball is wrapped by the husband .,a mother collected a chocolate .,a chocolate was collected by a mother .
a scientist eats a salad .,a salad is eaten by a scientist .,the priest left the cigarette .,the cigarette was left by the priest .
the guest destroyed the plate .,the plate was destroyed by the guest .,a lady accepts a gun .,a gun is accepted by a lady .
a parent strikes a leader .,a leader is struck by a parent .,the brother wrapped the television .,the television was wrapped by the brother .
a professor helps a scientist .,a scientist is helped by a professor .,the actor dragged the key .,the key was dragged by the actor .
