preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-5.34522819519043, -2.672614097595215, [-4.462743282318115, -0.8824849128723145]), (-5.353695869445801, -2.6768479347229004, [-4.335494041442871, -1.0182018280029297]), (-5.712728023529053, -2.8563640117645264, [-4.671533584594727, -1.0411944389343262]), (-4.816763401031494, -2.408381700515747, [-3.6510024070739746, -1.1657609939575195]), (-4.8902435302734375, -2.4451217651367188, [-3.9963629245758057, -0.8938803672790527])]",116535552,openai-gpt
A top is a,toy.,top,toy,2,"[(-10.103337287902832, -5.051668643951416, [-8.770109176635742, -1.3332281112670898]), (-9.570840835571289, -4.7854204177856445, [-8.478775978088379, -1.0920653343200684]), (-9.460735321044922, -4.730367660522461, [-8.08421802520752, -1.3765168190002441]), (-9.550933837890625, -4.7754669189453125, [-8.298164367675781, -1.2527689933776855]), (-10.02940559387207, -5.014702796936035, [-8.696292877197266, -1.3331122398376465])]",116535552,openai-gpt
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-9.213460922241211, -4.6067304611206055, [-7.958130359649658, -1.255331039428711]), (-9.337969779968262, -4.668984889984131, [-7.681042194366455, -1.6569275856018066]), (-9.912080764770508, -4.956040382385254, [-8.605605125427246, -1.3064751625061035]), (-8.926916122436523, -4.463458061218262, [-7.53657341003418, -1.3903422355651855]), (-8.309249877929688, -4.154624938964844, [-7.288883686065674, -1.0203666687011719])]",116535552,openai-gpt
A toy soldier is a,toy.,toy soldier,toy,4,"[(-4.177665710449219, -2.0888328552246094, [-2.283257484436035, -1.8944082260131836]), (-7.710458278656006, -3.855229139328003, [-5.574677467346191, -2.1357808113098145]), (-7.260525226593018, -3.630262613296509, [-5.810306549072266, -1.450218677520752]), (-8.107028007507324, -4.053514003753662, [-5.053995609283447, -3.053032398223877]), (-3.8222861289978027, -1.9111430644989014, [-2.7666282653808594, -1.0556578636169434])]",116535552,openai-gpt
A yo-yo is a,toy.,yo-yo,toy,5,"[(-8.841005325317383, -4.420502662658691, [-7.286137104034424, -1.5548686981201172]), (-8.843611717224121, -4.4218058586120605, [-7.628571510314941, -1.2150402069091797]), (-8.515287399291992, -4.257643699645996, [-7.304752826690674, -1.2105340957641602]), (-8.1273775100708, -4.0636887550354, [-6.974560260772705, -1.1528172492980957]), (-8.767501831054688, -4.383750915527344, [-7.24305534362793, -1.524446964263916])]",116535552,openai-gpt
A block is a,toy.,block,toy,6,"[(-10.869513511657715, -5.434756755828857, [-9.007553100585938, -1.8619604110717773]), (-11.562724113464355, -5.781362056732178, [-10.045537948608398, -1.517186164855957]), (-11.733221054077148, -5.866610527038574, [-9.897454261779785, -1.8357667922973633]), (-12.52264404296875, -6.261322021484375, [-11.033416748046875, -1.489227294921875]), (-12.214975357055664, -6.107487678527832, [-10.91386604309082, -1.301109790802002])]",116535552,openai-gpt
Marbles are,toys.,marbles,toy,7,"[(-10.868551254272461, -5.4342756271362305, [-9.849000930786133, -1.01954984664917]), (-12.98994255065918, -6.49497127532959, [-11.811812400817871, -1.1781306266784668]), (-10.992853164672852, -5.496426582336426, [-9.952423095703125, -1.0404305458068848]), (-12.707612991333008, -6.353806495666504, [-11.727664947509766, -0.9799480438232422]), (-12.799188613891602, -6.399594306945801, [-11.619582176208496, -1.1796069145202637])]",116535552,openai-gpt
A rattle is a,toy.,rattle,toy,8,"[(-8.758285522460938, -4.379142761230469, [-7.3145551681518555, -1.4437298774719238]), (-9.469536781311035, -4.734768390655518, [-7.9702959060668945, -1.4992408752441406]), (-10.360075950622559, -5.180037975311279, [-8.350249290466309, -2.009826421737671]), (-9.467805862426758, -4.733902931213379, [-7.932124137878418, -1.535682201385498]), (-10.09171199798584, -5.04585599899292, [-8.764840126037598, -1.3268718719482422])]",116535552,openai-gpt
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-6.69226598739624, -3.34613299369812, [-5.549778461456299, -1.1424875259399414]), (-6.451466083526611, -3.2257330417633057, [-5.286954879760742, -1.1645112037658691]), (-6.626277923583984, -3.313138961791992, [-5.732769966125488, -0.8935079574584961]), (-6.2129974365234375, -3.1064987182617188, [-5.024900436401367, -1.1880970001220703]), (-6.926600456237793, -3.4633002281188965, [-5.82076358795166, -1.1058368682861328])]",116535552,openai-gpt
A water pistol is a,toy.,water pistol,toy,10,"[(-7.848371982574463, -3.9241859912872314, [-6.6324143409729, -1.2159576416015625]), (-8.538555145263672, -4.269277572631836, [-7.243797302246094, -1.29475736618042]), (-7.481075286865234, -3.740537643432617, [-6.1126580238342285, -1.3684172630310059]), (-7.8921966552734375, -3.9460983276367188, [-6.735836982727051, -1.1563596725463867]), (-8.055240631103516, -4.027620315551758, [-6.808385848999023, -1.246854305267334])]",116535552,openai-gpt
A teddy bear is a,toy.,teddy bear,toy,11,"[(-7.821685791015625, -3.9108428955078125, [-6.468393325805664, -1.353292465209961]), (-8.447347640991211, -4.2236738204956055, [-7.310107707977295, -1.137239933013916]), (-8.454723358154297, -4.227361679077148, [-7.283909797668457, -1.1708130836486816]), (-8.723353385925293, -4.3616766929626465, [-7.551206111907959, -1.172147274017334]), (-8.271503448486328, -4.135751724243164, [-6.797253131866455, -1.474250316619873])]",116535552,openai-gpt
A rocking horse is a,toy.,rocking horse,toy,12,"[(-9.538220405578613, -4.769110202789307, [-8.091264724731445, -1.446955680847168]), (-8.719474792480469, -4.359737396240234, [-7.374233722686768, -1.3452415466308594]), (-8.594522476196289, -4.2972612380981445, [-7.248653888702393, -1.3458681106567383]), (-8.754575729370117, -4.377287864685059, [-7.2811784744262695, -1.4733967781066895]), (-9.078702926635742, -4.539351463317871, [-7.800926685333252, -1.277775764465332])]",116535552,openai-gpt
A doll house is a,toy.,doll house,toy,13,"[(-8.355815887451172, -4.177907943725586, [-5.9195451736450195, -2.4362707138061523]), (-8.098411560058594, -4.049205780029297, [-5.586610794067383, -2.511801242828369]), (-8.974754333496094, -4.487377166748047, [-6.490830421447754, -2.48392391204834]), (-9.524419784545898, -4.762209892272949, [-7.228740215301514, -2.2956795692443848]), (-9.320534706115723, -4.660267353057861, [-7.0433855056762695, -2.277149200439453])]",116535552,openai-gpt
A ball is a,toy.,ball,toy,14,"[(-9.063244819641113, -4.531622409820557, [-7.770789623260498, -1.2924551963806152]), (-7.7582855224609375, -3.8791427612304688, [-6.4759016036987305, -1.282383918762207]), (-8.273843765258789, -4.1369218826293945, [-7.031648635864258, -1.242194652557373]), (-8.02387523651123, -4.011937618255615, [-6.640712738037109, -1.383162498474121]), (-7.355081081390381, -3.6775405406951904, [-6.124731063842773, -1.2303500175476074])]",116535552,openai-gpt
Jacks are,toys.,jacks,toy,15,"[(-12.29153823852539, -6.145769119262695, [-11.439292907714844, -0.8522448539733887]), (-11.490161895751953, -5.745080947875977, [-10.327739715576172, -1.1624226570129395]), (-13.156290054321289, -6.5781450271606445, [-12.05091667175293, -1.1053729057312012]), (-11.482357025146484, -5.741178512573242, [-10.397729873657227, -1.0846266746520996]), (-12.455924987792969, -6.227962493896484, [-11.235334396362305, -1.2205901145935059])]",116535552,openai-gpt
