preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-4.903445243835449, -2.4517226219177246, [-3.916743278503418, -0.9867019653320312])",116535552,openai-gpt
A top is a,toy.,top,toy,2,"(-9.387992858886719, -4.693996429443359, [-8.209585189819336, -1.178408145904541])",116535552,openai-gpt
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-8.987176895141602, -4.493588447570801, [-7.590141773223877, -1.3970355987548828])",116535552,openai-gpt
A toy soldier is a,toy.,toy soldier,toy,4,"(-5.999991416931152, -2.999995708465576, [-3.831566333770752, -2.1684250831604004])",116535552,openai-gpt
A yo-yo is a,toy.,yo-yo,toy,5,"(-8.17435359954834, -4.08717679977417, [-6.9080915451049805, -1.2662620544433594])",116535552,openai-gpt
A block is a,toy.,block,toy,6,"(-12.365330696105957, -6.1826653480529785, [-10.389938354492188, -1.9753923416137695])",116535552,openai-gpt
Marbles are,toys.,marbles,toy,7,"(-11.92921257019043, -5.964606285095215, [-10.816760063171387, -1.1124529838562012])",116535552,openai-gpt
A rattle is a,toy.,rattle,toy,8,"(-9.126077651977539, -4.5630388259887695, [-7.764573097229004, -1.3615050315856934])",116535552,openai-gpt
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-6.6599273681640625, -3.3299636840820312, [-5.59893798828125, -1.0609893798828125])",116535552,openai-gpt
A water pistol is a,toy.,water pistol,toy,10,"(-8.077836990356445, -4.038918495178223, [-6.8775177001953125, -1.2003188133239746])",116535552,openai-gpt
A teddy bear is a,toy.,teddy bear,toy,11,"(-7.649020671844482, -3.824510335922241, [-6.518998146057129, -1.1300225257873535])",116535552,openai-gpt
A rocking horse is a,toy.,rocking horse,toy,12,"(-8.590240478515625, -4.2951202392578125, [-7.24493932723999, -1.3453006744384766])",116535552,openai-gpt
A doll house is a,toy.,doll house,toy,13,"(-7.87217903137207, -3.936089515686035, [-5.528354644775391, -2.3438243865966797])",116535552,openai-gpt
A ball is a,toy.,ball,toy,14,"(-7.744650363922119, -3.8723251819610596, [-6.497323036193848, -1.2473273277282715])",116535552,openai-gpt
Jacks are,toys.,jacks,toy,15,"(-12.191404342651367, -6.095702171325684, [-11.138998031616211, -1.0524067878723145])",116535552,openai-gpt
Paper dolls are,toys.,paper dolls,toy,16,"(-11.047844886779785, -5.523922443389893, [-9.882223129272461, -1.1656217575073242])",116535552,openai-gpt
An erector set is a,toy.,erector set,toy,17,"(-9.660079956054688, -4.830039978027344, [-7.762236595153809, -1.897843360900879])",116535552,openai-gpt
A hula hoop is a,toy.,hula hoop,toy,18,"(-9.395934104919434, -4.697967052459717, [-7.803888320922852, -1.592045783996582])",116535552,openai-gpt
A jump rope is a,toy.,jump rope,toy,19,"(-10.614590644836426, -5.307295322418213, [-9.209630012512207, -1.4049606323242188])",116535552,openai-gpt
A pogo stick is a,toy.,pogo stick,toy,20,"(-7.671141624450684, -3.835570812225342, [-6.433712959289551, -1.2374286651611328])",116535552,openai-gpt
