preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"[(-1.2905731201171875, -0.6452865600585938, [-1.21234130859375, -0.0782318115234375]), (-1.1553726196289062, -0.5776863098144531, [-0.9031143188476562, -0.25225830078125]), (-1.1921768188476562, -0.5960884094238281, [-0.9111862182617188, -0.2809906005859375]), (-0.94110107421875, -0.470550537109375, [-0.8340835571289062, -0.10701751708984375]), (-1.20184326171875, -0.600921630859375, [-0.9715919494628906, -0.23025131225585938])]",355412057,roberta-large
A top is a,toy.,top,toy,2,"[(-8.335086822509766, -4.167543411254883, [-6.962993621826172, -1.3720932006835938]), (-8.880882263183594, -4.440441131591797, [-8.573265075683594, -0.3076171875]), (-9.070377349853516, -4.535188674926758, [-8.50039291381836, -0.5699844360351562]), (-7.543750762939453, -3.7718753814697266, [-7.382457733154297, -0.16129302978515625]), (-7.385478973388672, -3.692739486694336, [-6.994453430175781, -0.3910255432128906])]",355412057,roberta-large
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"[(-4.521080017089844, -2.260540008544922, [-4.1970672607421875, -0.32401275634765625]), (-5.261463165283203, -2.6307315826416016, [-4.817310333251953, -0.44415283203125]), (-3.4602890014648438, -1.7301445007324219, [-2.8915138244628906, -0.5687751770019531]), (-4.928199768066406, -2.464099884033203, [-4.726722717285156, -0.20147705078125]), (-3.931804656982422, -1.965902328491211, [-3.800220489501953, -0.13158416748046875])]",355412057,roberta-large
A toy soldier is a,toy.,toy soldier,toy,4,"[(-2.5310020446777344, -1.2655010223388672, [-2.113262176513672, -0.4177398681640625]), (-3.070140838623047, -1.5350704193115234, [-1.8481025695800781, -1.2220382690429688]), (-3.7741050720214844, -1.8870525360107422, [-1.55584716796875, -2.2182579040527344]), (-2.2724647521972656, -1.1362323760986328, [-1.43304443359375, -0.8394203186035156]), (-4.733024597167969, -2.3665122985839844, [-0.7625656127929688, -3.970458984375])]",355412057,roberta-large
A yo-yo is a,toy.,yo-yo,toy,5,"[(-0.811431884765625, -0.4057159423828125, [-0.49762725830078125, -0.31380462646484375]), (-1.3666343688964844, -0.6833171844482422, [-0.9933547973632812, -0.3732795715332031]), (-2.5527877807617188, -1.2763938903808594, [-1.7958717346191406, -0.7569160461425781]), (-2.0041770935058594, -1.0020885467529297, [-1.4352035522460938, -0.5689735412597656]), (-2.0827369689941406, -1.0413684844970703, [-1.7749519348144531, -0.3077850341796875])]",355412057,roberta-large
A block is a,toy.,block,toy,6,"[(-9.744579315185547, -4.872289657592773, [-9.387348175048828, -0.35723114013671875]), (-4.816143035888672, -2.408071517944336, [-4.560009002685547, -0.256134033203125]), (-7.328067779541016, -3.664033889770508, [-7.028423309326172, -0.29964447021484375]), (-6.826953887939453, -3.4134769439697266, [-6.631259918212891, -0.1956939697265625]), (-9.79611587524414, -4.89805793762207, [-8.88632583618164, -0.9097900390625])]",355412057,roberta-large
Marbles are,toys.,marbles,toy,7,"[(-10.643512725830078, -5.321756362915039, [-10.09592056274414, -0.5475921630859375]), (-10.791545867919922, -5.395772933959961, [-10.57547378540039, -0.21607208251953125]), (-7.887226104736328, -3.943613052368164, [-7.743297576904297, -0.14392852783203125]), (-8.590805053710938, -4.295402526855469, [-8.363166809082031, -0.22763824462890625]), (-7.8558197021484375, -3.9279098510742188, [-6.749412536621094, -1.1064071655273438])]",355412057,roberta-large
A rattle is a,toy.,rattle,toy,8,"[(-5.332668304443359, -2.6663341522216797, [-5.123889923095703, -0.20877838134765625]), (-7.065216064453125, -3.5326080322265625, [-5.579704284667969, -1.4855117797851562]), (-5.2009735107421875, -2.6004867553710938, [-4.936683654785156, -0.26428985595703125]), (-5.663326263427734, -2.831663131713867, [-5.543827056884766, -0.11949920654296875]), (-5.371177673339844, -2.685588836669922, [-4.199169158935547, -1.1720085144042969])]",355412057,roberta-large
A stuffed animal is a,toy.,stuffed animal,toy,9,"[(-1.8629951477050781, -0.9314975738525391, [-1.7286033630371094, -0.13439178466796875]), (-0.6459121704101562, -0.3229560852050781, [-0.42754364013671875, -0.2183685302734375]), (-1.9118270874023438, -0.9559135437011719, [-1.8745574951171875, -0.03726959228515625]), (-0.5677337646484375, -0.28386688232421875, [-0.236663818359375, -0.3310699462890625]), (-1.5132293701171875, -0.7566146850585938, [-1.3010635375976562, -0.21216583251953125])]",355412057,roberta-large
A water pistol is a,toy.,water pistol,toy,10,"[(-3.06304931640625, -1.531524658203125, [-2.93756103515625, -0.12548828125]), (-3.6056671142578125, -1.8028335571289062, [-2.720928192138672, -0.8847389221191406]), (-3.8428077697753906, -1.9214038848876953, [-3.7646141052246094, -0.07819366455078125]), (-5.608142852783203, -2.8040714263916016, [-4.8735809326171875, -0.7345619201660156]), (-5.6363067626953125, -2.8181533813476562, [-5.220439910888672, -0.4158668518066406])]",355412057,roberta-large
