preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-1.039215087890625, -0.5196075439453125, [-0.9583053588867188, -0.08090972900390625])",355412057,roberta-large
A top is a,toy.,top,toy,2,"(-7.883460998535156, -3.941730499267578, [-7.665107727050781, -0.218353271484375])",355412057,roberta-large
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-3.846881866455078, -1.923440933227539, [-3.4619827270507812, -0.3848991394042969])",355412057,roberta-large
A toy soldier is a,toy.,toy soldier,toy,4,"(-2.5090179443359375, -1.2545089721679688, [-0.7391586303710938, -1.7698593139648438])",355412057,roberta-large
A yo-yo is a,toy.,yo-yo,toy,5,"(-0.6201171875, -0.31005859375, [-0.449493408203125, -0.170623779296875])",355412057,roberta-large
A block is a,toy.,block,toy,6,"(-6.625751495361328, -3.312875747680664, [-6.469043731689453, -0.156707763671875])",355412057,roberta-large
Marbles are,toys.,marbles,toy,7,"(-6.2344207763671875, -3.1172103881835938, [-5.96136474609375, -0.2730560302734375])",355412057,roberta-large
A rattle is a,toy.,rattle,toy,8,"(-4.072471618652344, -2.036235809326172, [-3.7693252563476562, -0.3031463623046875])",355412057,roberta-large
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-0.7110557556152344, -0.3555278778076172, [-0.6270179748535156, -0.08403778076171875])",355412057,roberta-large
A water pistol is a,toy.,water pistol,toy,10,"(-3.188915252685547, -1.5944576263427734, [-2.9692955017089844, -0.2196197509765625])",355412057,roberta-large
A teddy bear is a,toy.,teddy bear,toy,11,"(-1.15289306640625, -0.576446533203125, [-0.9568557739257812, -0.19603729248046875])",355412057,roberta-large
A rocking horse is a,toy.,rocking horse,toy,12,"(-2.191814422607422, -1.095907211303711, [-1.9317626953125, -0.2600517272949219])",355412057,roberta-large
A doll house is a,toy.,doll house,toy,13,"(-2.4066085815429688, -1.2033042907714844, [-1.6117897033691406, -0.7948188781738281])",355412057,roberta-large
A ball is a,toy.,ball,toy,14,"(-5.334583282470703, -2.6672916412353516, [-5.210788726806641, -0.1237945556640625])",355412057,roberta-large
Jacks are,toys.,jacks,toy,15,"(-6.721607208251953, -3.3608036041259766, [-6.469944000244141, -0.2516632080078125])",355412057,roberta-large
Paper dolls are,toys.,paper dolls,toy,16,"(-4.1856689453125, -2.09283447265625, [-3.9819412231445312, -0.20372772216796875])",355412057,roberta-large
An erector set is a,toy.,erector set,toy,17,"(-3.2432212829589844, -1.6216106414794922, [-2.67474365234375, -0.5684776306152344])",355412057,roberta-large
