pa, pp, ta, tp
a captain purchases a candy .,a candy is purchased by a captain .,the prince taught the parent .,the parent was taught by the prince .
the actor eats the pie .,the pie is eaten by the actor .,an employer protected a priest .,a priest was protected by an employer .
the buddy discovers the pie .,the pie is discovered by the buddy .,a princess washed a cousin .,a cousin was washed by a princess .
the army wants the ball .,the ball is wanted by the army .,a sheriff drank a coffee .,a coffee was drunk by a sheriff .
the mother understood the girl .,the girl was understood by the mother .,a cop judges a husband .,a husband is judged by a cop .
the prince comforted the king .,the king was comforted by the prince .,a wife kills a singer .,a singer is killed by a wife .
the nurse dragged the guest .,the guest was dragged by the nurse .,a professor selects a ball .,a ball is selected by a professor .
the kid washes the engine .,the engine is washed by the kid .,a winner described an iron .,an iron was described by a winner .
the minister joins the parent .,the parent is joined by the minister .,a secretary selected a juice .,a juice was selected by a secretary .
the pilot hurt the business .,the business was hurt by the pilot .,an aunt purchases a tea .,a tea is purchased by an aunt .
the physician bothers the teacher .,the teacher is bothered by the physician .,a boy tasted a pie .,a pie was tasted by a boy .
the actress removed the telephone .,the telephone was removed by the actress .,a secretary drinks a coffee .,a coffee is drunk by a secretary .
the physician prepared the chicken .,the chicken was prepared by the physician .,an employee smells a tea .,a tea is smelled by an employee .
a parent surprised a partner .,a partner was surprised by a parent .,the prince eats the salad .,the salad is eaten by the prince .
the friend chased the company .,the company was chased by the friend .,a scientist forgives a band .,a band is forgiven by a scientist .
an aunt wanted a pie .,a pie was wanted by an aunt .,the lady wraps the hat .,the hat is wrapped by the lady .
the daughter hurt the physician .,the physician was hurt by the daughter .,a leader teaches a writer .,a writer is taught by a leader .
a band protects a girl .,a girl is protected by a band .,the scientist dragged the ball .,the ball was dragged by the scientist .
a priest forgave a colonel .,a colonel was forgiven by a priest .,the aunt smells the juice .,the juice is smelled by the aunt .
the mother washed the crystal .,the crystal was washed by the mother .,a bishop judges a club .,a club is judged by a bishop .
the secretary purchased the meal .,the meal was purchased by the secretary .,a father washes a princess .,a princess is washed by a father .
the buddy bothers the administration .,the administration is bothered by the buddy .,a company wanted a juice .,a juice was wanted by a company .
a mother understood a son .,a son was understood by a mother .,the actress beats the worker .,the worker is beaten by the actress .
the worker comforts the woman .,the woman is comforted by the worker .,a professor followed a business .,a business was followed by a professor .
