preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-4.137517929077148, -2.068758964538574, [-4.103628158569336, -0.0338897705078125])",124697433,roberta-base
A top is a,toy.,top,toy,2,"(-10.153786659240723, -5.076893329620361, [-10.062775611877441, -0.09101104736328125])",124697433,roberta-base
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-4.364197731018066, -2.182098865509033, [-4.233542442321777, -0.13065528869628906])",124697433,roberta-base
A toy soldier is a,toy.,toy soldier,toy,4,"(-3.2587060928344727, -1.6293530464172363, [-1.5305166244506836, -1.728189468383789])",124697433,roberta-base
A yo-yo is a,toy.,yo-yo,toy,5,"(-3.702425956726074, -1.851212978363037, [-3.63710880279541, -0.06531715393066406])",124697433,roberta-base
A block is a,toy.,block,toy,6,"(-10.118783950805664, -5.059391975402832, [-10.04438591003418, -0.07439804077148438])",124697433,roberta-base
Marbles are,toys.,marbles,toy,7,"(-7.516571044921875, -3.7582855224609375, [-7.40245246887207, -0.11411857604980469])",124697433,roberta-base
A rattle is a,toy.,rattle,toy,8,"(-5.348684310913086, -2.674342155456543, [-5.261323928833008, -0.08736038208007812])",124697433,roberta-base
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-2.3754663467407227, -1.1877331733703613, [-2.335465431213379, -0.04000091552734375])",124697433,roberta-base
A water pistol is a,toy.,water pistol,toy,10,"(-4.996552467346191, -2.4982762336730957, [-4.828618049621582, -0.16793441772460938])",124697433,roberta-base
A teddy bear is a,toy.,teddy bear,toy,11,"(-3.5550241470336914, -1.7775120735168457, [-3.475396156311035, -0.07962799072265625])",124697433,roberta-base
A rocking horse is a,toy.,rocking horse,toy,12,"(-5.925703048706055, -2.9628515243530273, [-5.750457763671875, -0.1752452850341797])",124697433,roberta-base
A doll house is a,toy.,doll house,toy,13,"(-4.55157470703125, -2.275787353515625, [-3.1192550659179688, -1.4323196411132812])",124697433,roberta-base
A ball is a,toy.,ball,toy,14,"(-7.338371276855469, -3.6691856384277344, [-7.304841995239258, -0.03352928161621094])",124697433,roberta-base
Jacks are,toys.,jacks,toy,15,"(-7.113734722137451, -3.5568673610687256, [-6.988622188568115, -0.12511253356933594])",124697433,roberta-base
Paper dolls are,toys.,paper dolls,toy,16,"(-7.270973205566406, -3.635486602783203, [-7.174034118652344, -0.0969390869140625])",124697433,roberta-base
An erector set is a,toy.,erector set,toy,17,"(-5.874155044555664, -2.937077522277832, [-5.806951522827148, -0.06720352172851562])",124697433,roberta-base
A hula hoop is a,toy.,hula hoop,toy,18,"(-4.276289939880371, -2.1381449699401855, [-4.147780418395996, -0.128509521484375])",124697433,roberta-base
A jump rope is a,toy.,jump rope,toy,19,"(-5.801835060119629, -2.9009175300598145, [-5.734087944030762, -0.06774711608886719])",124697433,roberta-base
A pogo stick is a,toy.,pogo stick,toy,20,"(-3.813037872314453, -1.9065189361572266, [-3.684720993041992, -0.12831687927246094])",124697433,roberta-base
A clay is a,toy.,clay,toy,21,"(-7.3868608474731445, -3.6934304237365723, [-7.338273048400879, -0.048587799072265625])",124697433,roberta-base
A wagon is a,toy.,wagon,toy,22,"(-7.452937126159668, -3.726468563079834, [-7.373103141784668, -0.079833984375])",124697433,roberta-base
A kite is a,toy.,kite,toy,23,"(-6.050616264343262, -3.025308132171631, [-5.9178266525268555, -0.13278961181640625])",124697433,roberta-base
A train is a,toy.,train,toy,24,"(-7.330575942993164, -3.665287971496582, [-7.271974563598633, -0.05860137939453125])",124697433,roberta-base
A tricycle is a,toy.,tricycle,toy,25,"(-5.593634605407715, -2.7968173027038574, [-5.517264366149902, -0.0763702392578125])",124697433,roberta-base
A coloring book is a,toy.,coloring book,toy,26,"(-3.839491844177246, -1.919745922088623, [-3.771878242492676, -0.06761360168457031])",124697433,roberta-base
Crayons are,toys.,crayons,toy,27,"(-7.754429817199707, -3.8772149085998535, [-7.631745338439941, -0.12268447875976562])",124697433,roberta-base
A truck is a,toy.,truck,toy,28,"(-6.761320114135742, -3.380660057067871, [-6.71061897277832, -0.050701141357421875])",124697433,roberta-base
A puzzle is a,toy.,puzzle,toy,29,"(-7.767050743103027, -3.8835253715515137, [-7.716906547546387, -0.050144195556640625])",124697433,roberta-base
A fire engine is a,toy.,fire engine,toy,30,"(-6.12782096862793, -3.063910484313965, [-5.999691009521484, -0.1281299591064453])",124697433,roberta-base
A balloon is a,toy.,balloon,toy,31,"(-7.112354278564453, -3.5561771392822266, [-7.06764030456543, -0.04471397399902344])",124697433,roberta-base
Skates are,toys.,skates,toy,32,"(-8.255876541137695, -4.127938270568848, [-8.151651382446289, -0.10422515869140625])",124697433,roberta-base
A baseball is a,toy.,baseball,toy,33,"(-8.074735641479492, -4.037367820739746, [-8.034076690673828, -0.04065895080566406])",124697433,roberta-base
A drum is a,toy.,drum,toy,34,"(-6.291470527648926, -3.145735263824463, [-6.23153018951416, -0.059940338134765625])",124697433,roberta-base
A football is a,toy.,football,toy,35,"(-7.595274925231934, -3.797637462615967, [-7.546826362609863, -0.04844856262207031])",124697433,roberta-base
A game is a,toy.,game,toy,36,"(-9.188211441040039, -4.5941057205200195, [-9.149087905883789, -0.03912353515625])",124697433,roberta-base
A swing is a,toy.,swing,toy,37,"(-9.886764526367188, -4.943382263183594, [-9.835857391357422, -0.050907135009765625])",124697433,roberta-base
A boat is a,toy.,boat,toy,38,"(-8.297717094421387, -4.148858547210693, [-8.219178199768066, -0.07853889465332031])",124697433,roberta-base
A monopoly is a,toy.,monopoly,toy,39,"(-12.011549949645996, -6.005774974822998, [-11.913918495178223, -0.09763145446777344])",124697433,roberta-base
A sled is a,toy.,sled,toy,40,"(-6.49024772644043, -3.245123863220215, [-6.445831298828125, -0.04441642761230469])",124697433,roberta-base
A seesaw is a,toy.,seesaw,toy,41,"(-8.322479248046875, -4.1612396240234375, [-8.208621978759766, -0.11385726928710938])",124697433,roberta-base
Stilts are,toys.,stilts,toy,42,"(-7.761667728424072, -3.880833864212036, [-7.656027317047119, -0.10564041137695312])",124697433,roberta-base
Checkers are,toys.,checkers,toy,43,"(-11.20728874206543, -5.603644371032715, [-11.008615493774414, -0.19867324829101562])",124697433,roberta-base
A bat is a,toy.,bat,toy,44,"(-9.5879545211792, -4.7939772605896, [-9.533448219299316, -0.05450630187988281])",124697433,roberta-base
A car is a,toy.,car,toy,45,"(-6.814064979553223, -3.4070324897766113, [-6.7708330154418945, -0.043231964111328125])",124697433,roberta-base
An airplane is a,toy.,airplane,toy,46,"(-6.4625959396362305, -3.2312979698181152, [-6.404574394226074, -0.05802154541015625])",124697433,roberta-base
A bicycle is a,toy.,bicycle,toy,47,"(-8.065927505493164, -4.032963752746582, [-8.020450592041016, -0.04547691345214844])",124697433,roberta-base
A tractor is a,toy.,tractor,toy,48,"(-6.499668121337891, -3.2498340606689453, [-6.3932342529296875, -0.10643386840820312])",124697433,roberta-base
A sandbox is a,toy.,sandbox,toy,49,"(-6.480025291442871, -3.2400126457214355, [-6.398703575134277, -0.08132171630859375])",124697433,roberta-base
A bike is a,toy.,bike,toy,50,"(-8.67400074005127, -4.337000370025635, [-8.628355979919434, -0.04564476013183594])",124697433,roberta-base
A bow and arrow is a,toy.,bow and arrow,toy,51,"(-5.554603576660156, -2.777301788330078, [-5.457115173339844, -0.0974884033203125])",124697433,roberta-base
A rope is a,toy.,rope,toy,52,"(-9.338939666748047, -4.669469833374023, [-9.300468444824219, -0.038471221923828125])",124697433,roberta-base
Dishes are,toys.,dishes,toy,53,"(-10.54582405090332, -5.27291202545166, [-10.446222305297852, -0.09960174560546875])",124697433,roberta-base
Cards are,toys.,cards,toy,54,"(-12.757410049438477, -6.378705024719238, [-12.65225601196289, -0.10515403747558594])",124697433,roberta-base
A mitt is a,toy.,mitt,toy,55,"(-7.10502815246582, -3.55251407623291, [-7.015626907348633, -0.0894012451171875])",124697433,roberta-base
A horse is a,toy.,horse,toy,56,"(-7.85966682434082, -3.92983341217041, [-7.789882659912109, -0.06978416442871094])",124697433,roberta-base
A gun is a,toy.,gun,toy,57,"(-7.421121597290039, -3.7105607986450195, [-7.39091682434082, -0.03020477294921875])",124697433,roberta-base
Animals are,toys.,animals,toy,58,"(-6.171082496643066, -3.085541248321533, [-6.1195783615112305, -0.05150413513183594])",124697433,roberta-base
A tennis racket is a,toy.,tennis racket,toy,59,"(-4.502721786499023, -2.2513608932495117, [-4.453950881958008, -0.048770904541015625])",124697433,roberta-base
Books are,toys.,books,toy,60,"(-6.415308952331543, -3.2076544761657715, [-6.342696189880371, -0.07261276245117188])",124697433,roberta-base
A robin is a,bird.,robin,bird,1,"(-1.8726139068603516, -0.9363069534301758, [-1.7886886596679688, -0.08392524719238281])",124697433,roberta-base
A sparrow is a,bird.,sparrow,bird,2,"(-1.6087522506713867, -0.8043761253356934, [-1.5252294540405273, -0.08352279663085938])",124697433,roberta-base
A bluejay is a,bird.,bluejay,bird,3,"(-3.2929153442382812, -1.6464576721191406, [-3.205228805541992, -0.08768653869628906])",124697433,roberta-base
A bluebird is a,bird.,bluebird,bird,4,"(-1.5260019302368164, -0.7630009651184082, [-1.441514015197754, -0.0844879150390625])",124697433,roberta-base
A canary is a,bird.,canary,bird,5,"(-2.855997085571289, -1.4279985427856445, [-2.7701034545898438, -0.08589363098144531])",124697433,roberta-base
A blackbird is a,bird.,blackbird,bird,6,"(-1.59197998046875, -0.795989990234375, [-1.4900341033935547, -0.10194587707519531])",124697433,roberta-base
A dove is a,bird.,dove,bird,7,"(-3.9929542541503906, -1.9964771270751953, [-3.941112518310547, -0.05184173583984375])",124697433,roberta-base
A lark is a,bird.,lark,bird,8,"(-4.465607643127441, -2.2328038215637207, [-4.38369083404541, -0.08191680908203125])",124697433,roberta-base
A swallow is a,bird.,swallow,bird,9,"(-6.528704643249512, -3.264352321624756, [-6.4740800857543945, -0.05462455749511719])",124697433,roberta-base
A parakeet is a,bird.,parakeet,bird,10,"(-2.4271154403686523, -1.2135577201843262, [-2.2971906661987305, -0.12992477416992188])",124697433,roberta-base
An oriole is a,bird.,oriole,bird,11,"(-3.0627126693725586, -1.5313563346862793, [-2.981431007385254, -0.08128166198730469])",124697433,roberta-base
A mockingbird is a,bird.,mockingbird,bird,12,"(-0.8058176040649414, -0.4029088020324707, [-0.7203130722045898, -0.08550453186035156])",124697433,roberta-base
