preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-4.9658966064453125, -2.4829483032226562, [-3.2825698852539062, -1.6833267211914062])",354823168,gpt2-medium
A top is a,toy.,top,toy,2,"(-9.572525024414062, -4.786262512207031, [-7.961341857910156, -1.6111831665039062])",354823168,gpt2-medium
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-10.710487365722656, -5.355243682861328, [-6.117652893066406, -4.59283447265625])",354823168,gpt2-medium
A toy soldier is a,toy.,toy soldier,toy,4,"(-5.655998229980469, -2.8279991149902344, [-2.3436203002929688, -3.3123779296875])",354823168,gpt2-medium
A yo-yo is a,toy.,yo-yo,toy,5,"(-7.791130065917969, -3.8955650329589844, [-3.9259109497070312, -3.8652191162109375])",354823168,gpt2-medium
A block is a,toy.,block,toy,6,"(-12.189285278320312, -6.094642639160156, [-10.367874145507812, -1.8214111328125])",354823168,gpt2-medium
Marbles are,toys.,marbles,toy,7,"(-11.254341125488281, -5.627170562744141, [-9.137031555175781, -2.1173095703125])",354823168,gpt2-medium
A rattle is a,toy.,rattle,toy,8,"(-10.046615600585938, -5.023307800292969, [-7.483146667480469, -2.5634689331054688])",354823168,gpt2-medium
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-6.780967712402344, -3.390483856201172, [-3.882171630859375, -2.8987960815429688])",354823168,gpt2-medium
A water pistol is a,toy.,water pistol,toy,10,"(-11.330192565917969, -5.665096282958984, [-6.816001892089844, -4.514190673828125])",354823168,gpt2-medium
A teddy bear is a,toy.,teddy bear,toy,11,"(-6.5060577392578125, -3.2530288696289062, [-3.51080322265625, -2.9952545166015625])",354823168,gpt2-medium
A rocking horse is a,toy.,rocking horse,toy,12,"(-9.489570617675781, -4.744785308837891, [-7.2982635498046875, -2.1913070678710938])",354823168,gpt2-medium
A doll house is a,toy.,doll house,toy,13,"(-9.860237121582031, -4.930118560791016, [-5.0977325439453125, -4.762504577636719])",354823168,gpt2-medium
A ball is a,toy.,ball,toy,14,"(-6.125057220458984, -3.062528610229492, [-4.65606689453125, -1.4689903259277344])",354823168,gpt2-medium
Jacks are,toys.,jacks,toy,15,"(-11.655410766601562, -5.827705383300781, [-9.910049438476562, -1.745361328125])",354823168,gpt2-medium
Paper dolls are,toys.,paper dolls,toy,16,"(-10.797523498535156, -5.398761749267578, [-7.128379821777344, -3.6691436767578125])",354823168,gpt2-medium
An erector set is a,toy.,erector set,toy,17,"(-12.983772277832031, -6.491886138916016, [-6.975379943847656, -6.008392333984375])",354823168,gpt2-medium
A hula hoop is a,toy.,hula hoop,toy,18,"(-10.000717163085938, -5.000358581542969, [-6.282073974609375, -3.7186431884765625])",354823168,gpt2-medium
A jump rope is a,toy.,jump rope,toy,19,"(-11.839622497558594, -5.919811248779297, [-6.918937683105469, -4.920684814453125])",354823168,gpt2-medium
A pogo stick is a,toy.,pogo stick,toy,20,"(-9.378898620605469, -4.689449310302734, [-4.889312744140625, -4.489585876464844])",354823168,gpt2-medium
A clay is a,toy.,clay,toy,21,"(-11.369255065917969, -5.684627532958984, [-8.983840942382812, -2.3854141235351562])",354823168,gpt2-medium
A wagon is a,toy.,wagon,toy,22,"(-8.83673095703125, -4.418365478515625, [-6.684547424316406, -2.1521835327148438])",354823168,gpt2-medium
A kite is a,toy.,kite,toy,23,"(-9.72808837890625, -4.864044189453125, [-5.7135162353515625, -4.0145721435546875])",354823168,gpt2-medium
A train is a,toy.,train,toy,24,"(-8.395881652832031, -4.197940826416016, [-6.802864074707031, -1.593017578125])",354823168,gpt2-medium
A tricycle is a,toy.,tricycle,toy,25,"(-10.9068603515625, -5.45343017578125, [-5.672264099121094, -5.234596252441406])",354823168,gpt2-medium
A coloring book is a,toy.,coloring book,toy,26,"(-8.91729736328125, -4.458648681640625, [-6.257453918457031, -2.6598434448242188])",354823168,gpt2-medium
Crayons are,toys.,crayons,toy,27,"(-10.839607238769531, -5.419803619384766, [-8.714469909667969, -2.1251373291015625])",354823168,gpt2-medium
A truck is a,toy.,truck,toy,28,"(-8.7325439453125, -4.36627197265625, [-7.060173034667969, -1.6723709106445312])",354823168,gpt2-medium
A puzzle is a,toy.,puzzle,toy,29,"(-9.870704650878906, -4.935352325439453, [-7.262092590332031, -2.608612060546875])",354823168,gpt2-medium
A fire engine is a,toy.,fire engine,toy,30,"(-9.725044250488281, -4.862522125244141, [-8.149688720703125, -1.5753555297851562])",354823168,gpt2-medium
A balloon is a,toy.,balloon,toy,31,"(-8.98968505859375, -4.494842529296875, [-6.412361145019531, -2.5773239135742188])",354823168,gpt2-medium
Skates are,toys.,skates,toy,32,"(-10.818870544433594, -5.409435272216797, [-9.025314331054688, -1.7935562133789062])",354823168,gpt2-medium
A baseball is a,toy.,baseball,toy,33,"(-7.777976989746094, -3.888988494873047, [-6.426902770996094, -1.35107421875])",354823168,gpt2-medium
A drum is a,toy.,drum,toy,34,"(-9.857498168945312, -4.928749084472656, [-7.3994140625, -2.4580841064453125])",354823168,gpt2-medium
