preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,toy,1,"(-3.4563674926757812, -1.7281837463378906, [-3.4209938049316406, -0.035373687744140625])",109514298,bert-base-uncased
A top is a,toy.,top,toy,2,"(-9.453184127807617, -4.726592063903809, [-9.411113739013672, -0.04207038879394531])",109514298,bert-base-uncased
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,"(-2.9739131927490234, -1.4869565963745117, [-2.9502620697021484, -0.023651123046875])",109514298,bert-base-uncased
A toy soldier is a,toy.,toy soldier,toy,4,"(-0.31118106842041016, -0.15559053421020508, [-0.2782926559448242, -0.03288841247558594])",109514298,bert-base-uncased
A yo-yo is a,toy.,yo-yo,toy,5,"(-3.518202781677246, -1.759101390838623, [-3.4906129837036133, -0.027589797973632812])",109514298,bert-base-uncased
A block is a,toy.,block,toy,6,"(-10.332469940185547, -5.166234970092773, [-10.304300308227539, -0.028169631958007812])",109514298,bert-base-uncased
Marbles are,toys.,marbles,toy,7,"(-9.66090202331543, -4.830451011657715, [-9.503019332885742, -0.1578826904296875])",109514298,bert-base-uncased
A rattle is a,toy.,rattle,toy,8,"(-5.9613037109375, -2.98065185546875, [-5.934654235839844, -0.02664947509765625])",109514298,bert-base-uncased
A stuffed animal is a,toy.,stuffed animal,toy,9,"(-1.1247978210449219, -0.5623989105224609, [-1.096120834350586, -0.028676986694335938])",109514298,bert-base-uncased
A water pistol is a,toy.,water pistol,toy,10,"(-9.637162208557129, -4.8185811042785645, [-9.620285987854004, -0.016876220703125])",109514298,bert-base-uncased
A teddy bear is a,toy.,teddy bear,toy,11,"(-0.7776165008544922, -0.3888082504272461, [-0.7546577453613281, -0.022958755493164062])",109514298,bert-base-uncased
A rocking horse is a,toy.,rocking horse,toy,12,"(-5.315227508544922, -2.657613754272461, [-5.293796539306641, -0.02143096923828125])",109514298,bert-base-uncased
A doll house is a,toy.,doll house,toy,13,"(-2.3722190856933594, -1.1861095428466797, [-2.3483638763427734, -0.023855209350585938])",109514298,bert-base-uncased
A ball is a,toy.,ball,toy,14,"(-6.894625663757324, -3.447312831878662, [-6.857037544250488, -0.03758811950683594])",109514298,bert-base-uncased
Jacks are,toys.,jacks,toy,15,"(-6.07045316696167, -3.035226583480835, [-6.006875514984131, -0.06357765197753906])",109514298,bert-base-uncased
Paper dolls are,toys.,paper dolls,toy,16,"(-8.221845626831055, -4.110922813415527, [-8.188446044921875, -0.03339958190917969])",109514298,bert-base-uncased
An erector set is a,toy.,erector set,toy,17,"(-8.204157829284668, -4.102078914642334, [-8.17992877960205, -0.024229049682617188])",109514298,bert-base-uncased
A hula hoop is a,toy.,hula hoop,toy,18,"(-5.867962837219238, -2.933981418609619, [-5.849991798400879, -0.017971038818359375])",109514298,bert-base-uncased
A jump rope is a,toy.,jump rope,toy,19,"(-12.671555519104004, -6.335777759552002, [-12.652237892150879, -0.019317626953125])",109514298,bert-base-uncased
